date,fips,samples,m50,m50_index
2020-03-01,41,58973,2.947,57
2020-03-02,41,61160,4.878,94
2020-03-03,41,62437,5.05,97
2020-03-04,41,63952,5.159,100
2020-03-05,41,61461,5.532,107
2020-03-06,41,60498,5.632000000000001,109
2020-03-07,41,61082,4.053,78
2020-03-08,41,61395,3.005,58
2020-03-09,41,62705,4.938,95
2020-03-10,41,61768,5.27,102
2020-03-11,41,62475,5.224,101
2020-03-12,41,60847,5.195,100
2020-03-13,41,59875,5.013,97
2020-03-14,41,57982,2.077,40
2020-03-15,41,57070,1.489,28
2020-03-16,41,57194,3.529,68
2020-03-17,41,59562,2.9219999999999997,56
2020-03-18,41,57848,2.699,52
2020-03-19,41,55659,2.438,47
2020-03-20,41,54187,2.9810000000000003,57
2020-03-21,41,48580,0.768,14
2020-03-22,41,53892,0.344,6
2020-03-23,41,56657,1.087,21
2020-03-24,41,58739,0.336,6
2020-03-25,41,56547,0.6729999999999999,13
2020-03-26,41,58196,0.526,10
2020-03-27,41,57480,0.563,10
2020-03-28,41,57695,0.043,0
2020-03-29,41,59425,0.035,0
2020-03-30,41,59652,0.128,2
2020-03-31,41,60206,0.513,9
2020-04-01,41,59434,0.512,9
2020-04-02,41,58771,0.66,12
2020-04-03,41,57913,0.983,19
2020-04-04,41,56765,0.062,1
2020-04-05,41,58887,0.043,0
2020-04-06,41,56233,0.521,10
2020-04-07,41,57395,0.794,15
2020-04-08,41,57510,0.9359999999999999,18
2020-04-09,41,56427,0.914,17
2020-04-10,41,53244,1.5290000000000001,29
2020-04-11,41,53874,0.36200000000000004,7
2020-04-12,41,53422,0.044000000000000004,0
2020-04-13,41,53419,0.838,16
2020-04-14,41,55113,0.975,18
2020-04-15,41,58758,1.064,20
2020-04-16,41,56895,1.361,26
2020-04-17,41,55498,1.849,35
2020-04-18,41,55096,0.09699999999999999,1
2020-04-19,41,53470,0.084,1
2020-04-21,41,67802,0.816,15
2020-04-22,41,68695,0.495,9
2020-04-23,41,68489,0.84,16
2020-04-24,41,67082,0.9359999999999999,18
2020-04-25,41,64094,0.085,1
2020-04-26,41,64256,0.061,1
2020-04-27,41,66367,0.604,11
2020-04-28,41,67654,0.961,18
2020-04-29,41,64547,1.003,19
2020-04-30,41,96056,1.679,32
2020-05-01,41,87344,2.6660000000000004,51
2020-05-02,41,92756,0.507,9
2020-05-03,41,91629,0.647,12
2020-05-04,41,64389,1.402,27
2020-05-05,41,65379,1.597,30
2020-05-06,41,65424,1.949,37
2020-05-07,41,67188,1.364,26
2020-05-08,41,65752,2.0380000000000003,39
2020-05-09,41,66478,1.2009999999999998,23
2020-05-10,41,66270,0.6940000000000001,13
2020-05-11,41,63842,0.655,12
2020-05-12,41,66375,1.02,19
2020-05-13,41,51235,1.222,23
2020-05-14,41,52923,1.255,24
2020-05-15,41,95518,2.7230000000000003,52
2020-05-16,41,96325,1.5230000000000001,29
2020-05-17,41,100636,0.64,12
2020-05-18,41,98954,1.452,28
2020-05-19,41,89994,1.952,37
2020-05-20,41,94432,2.657,51
2020-05-21,41,101270,2.5580000000000003,49
2020-05-22,41,103306,3.387,65
2020-05-23,41,100745,2.2769999999999997,44
